title,content
환경을 위하여~,"이번 콘서트는 환경 문제에 대한 대중의 높은 인식을 바탕으로, 관객들에게 환경의 소중함과 중요성을 각성시키고, 아름다운 지구와 지속 가능한 미래로 나아가기 위해 함께 노력하는 공감의 시간이었습니다.

화분을 들고나와 풀피리 연주를 들려준 김충근 님의 섬집아기가 콘서트의 문을 열었습니다. 어린 시절 풀잎을 뜯어 피리를 불던 생각이 났습니다. 풀잎이 악기가 되어 공연장을 아름다운 소리로 가득 채웠습니다.

공연 중간중간 나온 환경에 관한 영상과 메시지가 자연스럽게 관객들에게 다가왔습니다. 폐페트병으로 만든 아름다운 드레스를 입고 바이올린을 연주해 주신 여근하 님의 멋진 모습이 기억에 남았습니다.

건강상의 이유로 나오지 못한 고성현 님 대신 나온 박정민 님이 멋진 목소리로 노래를 들려주었습니다. 프랑스 샹송과 뮤지컬 노트르담 드 파리의 유명한 넘버들을 프랑스어로 멋지게 들려주신 무슈고 님의 위트 있는 멘트가 관객들을 사로잡았습니다.

예술총감독이자 테너로 출연한 하만택 님, 모스틀리 필하모닉 오케스트라를 이끈 지휘자 박상현 님, 맑고 청아한 목소리로 자연의 아름다움을 표현한 소프라노 최정원 님 등, 자연을 주제로 한 이번 콘서트는 아티스트들의 개성과 실력을 느낄 수 있는 좋은 기회였습니다.

환경이라는 진지한 주제를 다루고 있지만, 우리에게 친숙한 곡들로 구성되어 있어 무거움이나 부담감 없이 즐길 수 있었습니다. 아름다운 음악처럼 환경도 오래도록 아름답게 우리와 함께할 수 있도록 모두가 노력해 나가기를 바라봅니다."
공연 추천~~,"아이들과 여름방학 공연관람으로 정말 좋은시간이었습니다.
익숙한 애니메이션 주제곡들과 영상으로 아이들이 지루해하지 않고 즐겁게 관람할 수 있어 어린아이들에게도 추천입니다.
아름다운 연주를 가까이서 들으니 더욱더 몰입도 있고 정말 좋은 시간이었습니다.
오래간만에 귀호강하고 힐링하는 시간이었습니다.
방학때마다 계속 올 생각입니다.^^"
오랫동안 기억에 남은것 같아요,"딸과 같이  보고 왔어요 
생각보다 더 멋지고 웅장해서 깜짝 놀랐네요~"
가볍게 갔다가 묵직한 감동안고 돌아왔어요,"맛깔나는 연기, 몰입 연주, 열정적인 지휘에
예쁜 의상 , 반짝이는 보석, 현란한 앞치마,
찰떡 파랑머리 가발까지

너무 행복한 시간 누리고 왔어요.
감동이 오래가네요"
좋은 공연이였습니다.,"오페라를 관람할 기회가 거의 없는데, 가까운데서 오페라를 하게되어 즐거운 시간을 보냈습니다.
라보엠은 제목만 들어보고 잘 모르는 내용인데 가난한 젊은이들의 사랑 얘기가 공감되었습니다.
음악과 노래도 정말 좋았습니다.
무대가 좁아서 조금 아쉬웠는데 다음에 더 큰 무대에서 보면 좋겠습니다."
재미있었습니다,나름 재미있었던 공연이었던 것 같습니다
환경콘서트,풀피리 너무 신기했어요!!!
신선한 프로젝트!!♡,"전세계에 흩어져있는 대한민국 출신의 음악가들과 한국을 제2의 고향으로 삼는 음악가들의 모임으로 이루어진 고잉홈 프로젝트!! 지휘없이 연주되는 음악회여서인지 더 집중하며 들었습니다!!^^*손열음님의 협연으로 베토벤 작품을 들을 수 있어 새롭고 신선한 경험이었고 좋았습니다!! 더구나 제가 정말 사랑하는 교향곡 7번을 들을 수 있어 행복했고 그 여운은 오래 갈거라 생각합니다^^*고잉홈 아카데미 프로그램에 대한 설명을 프로그램북을 통해 알 수 있었는데 오케스트라의 단원이 되어 실전 연주경험을 쌓을 수 있는 기회가 있다는 부분, 레슨과 미래의 진로에 대해 이야기를 나눌 수 있는 프로그램이라는 것이 흥미로웠습니다.^^앞으로도 연주회가 많이 있을 것으로 예상되는데 계속 관심을 갖고 관람할 것 같습니다!!♡"
안용헌 기타리스트님의 첫 예술의전당 데뷔무대 축하드립니다.,기타 공연은 처음 봤는데 정말 좋았어요!!!!더구나 안용헌 기타리스트님의 첫 예당 데뷔무대 함께해서 저도 기억에 오래 갈거 같아요앞으로도 좋은 공연 자주 부탁드립니다.
솔라시아 유스오케스트라 with 손민수,손민수 교수님 피아노 연주 감동적 이었습니다.
